NAME,TEAM,GP,MIN,PTS,AST,OREB,DREB,REB,STL,BLK,TOV,PF,+/-,DD2,TD3,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT%
Kelan Martin,BOS,30,15.0,5.7,0.7,0.6,1.3,1.8,0.4,0.3,0.5,1.2,-1.8,0,0,2.3,5.7,0.409,0.7,2.5,0.293,0.3,0.4,0.692
Keldon Johnson,SAS,73,31.8,16.9,2.1,1.1,5.0,6.1,0.7,0.2,1.2,2.0,1.3,6,0,6.2,13.4,0.467,2.1,5.3,0.403,2.3,3.0,0.755
Keljin Blevins,POR,28,11.0,3.1,0.6,0.6,0.9,1.5,0.4,0.0,0.6,0.9,-6.3,0,0,1.1,3.5,0.32,0.7,2.2,0.306,0.2,0.4,0.545
Kelly Olynyk,DET,39,19.0,8.9,2.7,1.4,3.1,4.4,0.8,0.5,1.4,2.5,-1.8,1,0,3.2,7.2,0.444,1.0,2.9,0.339,1.6,2.1,0.763
Kelly Oubre Jr.,CHA,74,26.5,15.0,1.1,1.1,2.9,4.0,1.0,0.4,0.9,2.5,-0.4,1,0,5.4,12.4,0.438,2.5,7.3,0.343,1.7,2.5,0.67
Kemba Walker,NYK,37,25.6,11.6,3.5,0.4,2.6,3.0,0.7,0.2,1.3,1.0,-4.9,1,1,4.0,10.0,0.403,2.0,5.4,0.367,1.6,1.9,0.845
Kenrich Williams,OKC,49,21.9,7.4,2.2,1.5,3.0,4.5,0.9,0.2,0.9,1.7,0.5,0,0,3.0,6.5,0.461,0.8,2.5,0.339,0.6,1.1,0.545
Kent Bazemore,LAL,38,14.0,3.5,0.9,0.3,1.4,1.8,0.7,0.2,0.6,1.8,-2.7,0,0,1.2,3.6,0.328,0.8,2.1,0.367,0.3,0.4,0.765
Kentavious Caldwell-Pope,WAS,77,30.2,13.2,1.9,0.5,2.9,3.4,1.1,0.3,1.3,1.8,-3.0,2,0,4.7,10.8,0.435,2.1,5.3,0.39,1.8,2.0,0.89
Kenyon Martin Jr.,HOU,77,21.0,8.8,1.3,1.0,2.8,3.8,0.4,0.5,0.8,1.4,-3.0,2,0,3.5,6.6,0.535,0.8,2.1,0.363,1.0,1.6,0.633
Keon Johnson,POR,34,17.6,7.1,1.6,0.7,1.6,2.3,0.7,0.3,1.1,1.7,-6.4,0,0,2.6,7.0,0.371,0.9,2.5,0.372,1.0,1.3,0.778
Kessler Edwards,BKN,46,20.1,5.8,0.7,0.9,2.7,3.5,0.6,0.5,0.9,1.8,-1.7,1,0,2.2,5.4,0.412,1.0,2.8,0.359,0.3,0.4,0.824
Kevin Durant,BKN,53,37.1,29.9,6.2,0.5,6.9,7.4,0.9,0.9,3.4,2.1,4.6,17,3,10.6,20.3,0.521,2.1,5.4,0.385,6.6,7.3,0.905
Kevin Huerter,ATL,72,29.6,12.0,2.7,0.4,2.9,3.4,0.7,0.4,1.2,2.5,2.3,1,0,4.7,10.3,0.452,2.2,5.6,0.389,0.6,0.7,0.8
Kevin Knox II,ATL,29,7.6,3.2,0.3,0.4,1.0,1.4,0.1,0.1,0.2,0.6,-2.3,0,0,1.1,2.9,0.373,0.5,1.8,0.288,0.5,0.7,0.75
Kevin Love,CLE,72,22.6,13.4,2.2,1.1,6.1,7.2,0.3,0.2,1.3,1.4,1.2,14,0,4.3,10.2,0.425,2.5,6.4,0.385,2.3,2.7,0.844
Kevin Pangos,CLE,24,6.9,1.6,1.3,0.1,0.4,0.5,0.1,0.0,0.3,0.5,-1.5,0,0,0.6,1.9,0.326,0.3,1.1,0.231,0.1,0.2,0.75
